sofifa_id,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,overall,potential,value_eur,wage_eur,player_positions,preferred_foot,international_reputation,work_rate,team_position
158023,L. Messi,Lionel Andrï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,33,24/06/1987,170,72,Argentina,FC Barcelona,Spain Primera Division,93,93,67500000,560000,"RW, ST, CF",Left,5,Medium/Low,CAM
20801,Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,35,5/2/1985,187,83,Portugal,Juventus,Italian Serie A,92,92,46000000,220000,"ST, LW",Right,5,High/Low,LS
200389,J. Oblak,Jan Oblak,27,7/1/1993,188,87,Slovenia,Atletico Madrid,Spain Primera Division,91,93,75000000,125000,GK,Right,3,Medium/Medium,GK
188545,R. Lewandowski,Robert Lewandowski,31,21/08/1988,184,80,Poland,FC Bayern Mï¿½ï¿½ï,German 1. Bundesliga,91,91,80000000,240000,ST,Right,4,High/Medium,ST
190871,Neymar Jr,Neymar da Silva Santos Jï¿½ï¿½,28,5/2/1992,175,68,Brazil,Paris Saint-Germain,French Ligue 1,91,91,90000000,270000,"LW, CAM",Right,5,High/Medium,LW
192985,K. De Bruyne,Kevin De Bruyne,29,28/06/1991,181,70,Belgium,Manchester City,English Premier League,91,91,87000000,370000,"CAM, CM",Right,4,High/High,RCM
231747,K. Mbappe,Kylian Mbappï¿½ï¿½ï¿½,21,20/12/1998,178,73,France,Paris Saint-Germain,French Ligue 1,90,95,105500000,160000,"ST, LW, RW",Right,3,High/Low,LS
192448,M. ter Stegen,Marc-Andrï¿½ï¿½ï¿½ï¿½ï,28,30/04/1992,187,85,Germany,FC Barcelona,Spain Primera Division,90,93,69500000,260000,GK,Right,3,Medium/Medium,GK
203376,V. van Dijk,Virgil van Dijk,28,8/7/1991,193,92,Netherlands,Liverpool,English Premier League,90,91,75500000,210000,CB,Right,3,Medium/Medium,LCB
212831,Alisson,Alisson Ramsï¿½ï¿½ï¿½ï,27,2/10/1992,191,91,Brazil,Liverpool,English Premier League,90,91,62500000,160000,GK,Right,3,Medium/Medium,GK
208722,S. Mane,Sadio Mane,28,10/4/1992,175,69,Senegal,Liverpool,English Premier League,90,90,78000000,250000,LW,Right,3,High/Medium,LW
209331,M. Salah,Mohamed Salah Ghaly,28,15/06/1992,175,71,Egypt,Liverpool,English Premier League,90,90,78000000,250000,RW,Left,3,High/Medium,RW
192119,T. Courtois,Thibaut Courtois,28,11/5/1992,199,96,Belgium,Real Madrid,Spain Primera Division,89,90,56000000,250000,GK,Left,4,Medium/Medium,GK
153079,S. Agï¿½ï¿,Sergio Leonel Agï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,32,2/6/1988,173,70,Argentina,Manchester City,English Premier League,89,89,53000000,300000,ST,Right,4,High/Medium,SUB
155862,Sergio Ramos,Sergio Ramos Garcï¿½,34,30/03/1986,184,82,Spain,Real Madrid,Spain Primera Division,89,89,24500000,300000,CB,Right,4,High/Medium,LCB
165153,K. Benzema,Karim Benzema,32,19/12/1987,185,81,France,Real Madrid,Spain Primera Division,89,89,53000000,350000,"CF, ST",Right,4,Medium/Low,CF
167495,M. Neuer,Manuel Neuer,34,27/03/1986,193,92,Germany,FC Bayern Mï¿½ï¿½ï,German 1. Bundesliga,89,89,29000000,125000,GK,Right,5,Medium/Medium,GK
200145,Casemiro,Carlos Henrique Venancio Casimiro,28,23/02/1992,185,84,Brazil,Real Madrid,Spain Primera Division,89,89,59500000,310000,CDM,Right,3,High/High,CDM
210257,Ederson,Ederson Santana de Moraes,26,17/08/1993,188,86,Brazil,Manchester City,English Premier League,88,91,53500000,195000,GK,Left,2,Medium/Medium,GK
202652,R. Sterling,Raheem Shaquille Sterling,25,8/12/1994,170,69,England,Manchester City,English Premier League,88,90,72500000,270000,"LW, RW",Right,3,High/Medium,LW
212622,J. Kimmich,Joshua Kimmich,25,8/2/1995,176,73,Germany,FC Bayern Mï¿½ï¿½ï,German 1. Bundesliga,88,90,65000000,145000,"CDM, RB",Right,3,High/Medium,RDM
202126,H. Kane,Harry Kane,26,28/07/1993,188,89,England,Tottenham Hotspur,English Premier League,88,89,71000000,220000,ST,Right,3,High/High,ST
211110,P. Dybala,Paulo Bruno Exequiel Dybala,26,15/11/1993,177,75,Argentina,Juventus,Italian Serie A,88,89,71000000,190000,"CF, CAM",Left,3,Medium/Medium,RS
162835,S. Handanoviï¿,Samir Handanoviï¿,35,14/07/1984,193,92,Slovenia,Inter,Italian Serie A,88,88,16000000,100000,GK,Right,3,Medium/Medium,GK
182521,T. Kroos,Toni Kroos,30,4/1/1990,183,76,Germany,Real Madrid,Spain Primera Division,88,88,55000000,310000,CM,Right,4,Medium/Medium,LCM
183277,E. Hazard,Eden Hazard,29,7/1/1991,175,74,Belgium,Real Madrid,Spain Primera Division,88,88,58000000,350000,"LW, ST",Right,4,High/Medium,LW
201024,K. Koulibaly,Kalidou Koulibaly,29,20/06/1991,187,89,Senegal,Napoli,Italian Serie A,88,88,50000000,140000,CB,Right,3,Medium/High,LCB
215914,N. Kantï¿,N'Golo Kantï¿,29,29/03/1991,168,70,France,Chelsea,English Premier League,88,88,51000000,190000,"CDM, CM",Right,3,Medium/High,RDM
233049,J. Sancho,Jadon Sancho,20,25/03/2000,180,76,England,Borussia Dortmund,German 1. Bundesliga,87,93,69500000,82000,"RM, LM, CAM",Right,3,High/Medium,RS
231281,T. Alexander-Arnold,Trent Alexander-Arnold,21,7/10/1998,180,69,England,Liverpool,English Premier League,87,92,60000000,110000,RB,Right,2,High/Medium,RB
212198,Bruno Fernandes,Bruno Miguel Borges Fernandes,25,8/9/1994,179,69,Portugal,Manchester United,English Premier League,87,90,63000000,195000,"CAM, CM",Right,2,High/High,CAM
212218,A. Laporte,Aymeric Laporte,26,27/05/1994,189,85,France,Manchester City,English Premier League,87,90,56000000,200000,CB,Left,2,Medium/Medium,LCB
209499,Fabinho,Fï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï,26,23/10/1993,188,78,Brazil,Liverpool,English Premier League,87,89,54500000,155000,CDM,Right,3,Medium/High,CDM
216267,A. Robertson,Andrew Robertson,26,11/3/1994,178,64,Scotland,Liverpool,English Premier League,87,89,53000000,155000,LB,Left,3,High/High,LB
218667,Bernardo Silva,Bernardo Mota Veiga de Carvalho e Silva,25,10/8/1994,173,64,Portugal,Manchester City,English Premier League,87,88,60000000,230000,"RW, CAM, CM",Left,2,High/High,LCM
138956,G. Chiellini,Giorgio Chiellini,35,14/08/1984,187,85,Italy,Juventus,Italian Serie A,87,87,15500000,94000,CB,Left,4,Medium/High,LCB
167948,H. Lloris,Hugo Lloris,33,26/12/1986,188,82,France,Tottenham Hotspur,English Premier League,87,87,27000000,125000,GK,Left,4,Medium/Medium,GK
176580,L. Suï¿½ï¿,Luis Alberto Suï¿½ï¿½ï¿½ï¿,33,24/01/1987,182,86,Uruguay,FC Barcelona,Spain Primera Division,87,87,31500000,280000,ST,Right,5,High/Medium,SUB
177003,L. Modriï¿,Luka Modriï¿,34,9/9/1985,172,66,Croatia,Real Madrid,Spain Primera Division,87,87,24500000,260000,CM,Right,4,High/Medium,RCM
